RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
74,Geno Smith   LV,QB,15,18.5,6.2,26.1,12.8,7.9,9.7,2.8,BYE,27.3,5.4,13.9,14.2,13.0,9.0,—,15.0,9.1,—,12.7,190.9
75,Tyler Warren   IND,TE,17,14.9,11.9,6.8,18.3,14.4,18.3,16.9,9.3,7.6,17.9,BYE,9.5,11.2,3.7,4.9,6.0,9.3,7.6,11.1,188.5
76,Deebo Samuel Sr.   WAS,WR,16,22.6,17.4,4.9,20.1,23.6,5.4,—,4.2,9.4,12.9,20.7,BYE,11.1,6.7,7.3,6.5,11.3,4.1,11.8,188.2
77,Jake Ferguson   DAL,TE,17,7.3,16.8,21.2,17.0,23.9,12.3,21.9,0.0,8.0,BYE,11.6,11.1,8.6,10.8,3.6,4.9,7.6,1.5,11.1,188.1
78,Brandon Aubrey   DAL,K,17,11.0,22.0,8.0,8.0,7.0,9.0,17.0,6.0,5.0,BYE,9.0,7.0,12.0,23.0,16.6,5.0,17.0,5.0,11.0,187.6
79,Brock Purdy   SF,QB,9,18.8,—,—,19.7,—,—,—,—,—,—,19.3,10.3,17.1,BYE,26.2,31.9,37.9,6.2,20.8,187.4
80,DK Metcalf   PIT,WR,15,12.3,11.0,12.2,23.6,BYE,19.5,8.0,16.5,2.6,6.5,9.9,14.4,6.2,21.8,14.5,8.2,—,—,12.5,187.2
81,Harold Fannin Jr.   CLE,TE,16,13.6,9.8,5.5,4.5,11.3,15.1,7.6,18.4,BYE,8.4,4.6,8.4,11.3,25.4,12.0,19.5,11.0,—,11.7,186.4
82,Tony Pollard   TEN,RB,17,7.9,9.2,13.9,10.6,14.8,6.7,12.1,6.3,7.8,BYE,5.6,8.1,5.3,28.1,18.2,10.2,11.5,9.5,10.9,185.8
83,Dallas Goedert   PHI,TE,15,11.4,—,10.3,19.7,10.9,26.0,4.8,17.8,BYE,8.3,4.4,4.0,4.7,15.8,25.0,12.2,9.8,—,12.3,185.1
84,Parker Washington   JAC,WR,16,0.0,12.6,7.4,5.9,9.6,4.9,10.2,BYE,17.0,17.9,4.0,18.1,3.6,—,8.3,26.5,19.0,19.7,11.5,184.7
85,Alec Pierce   IND,WR,15,4.6,10.8,10.7,—,—,6.8,14.8,8.9,17.5,18.4,BYE,3.6,17.8,13.0,2.6,24.6,0.0,29.2,12.2,183.3
86,Keenan Allen   LAC,WR,17,19.8,17.1,19.5,8.7,10.8,6.7,28.9,8.4,6.1,3.9,9.3,BYE,7.0,5.2,8.6,9.4,2.7,10.6,10.7,182.7
87,Zach Charbonnet   SEA,RB,16,10.7,1.0,—,12.4,11.8,4.7,19.5,BYE,5.6,14.3,6.7,9.5,11.2,8.6,3.1,17.4,26.2,18.7,11.3,181.4
88,Ladd McConkey   LAC,WR,16,13.4,9.8,8.1,2.1,14.9,23.0,15.7,20.8,9.6,20.7,4.3,BYE,13.9,2.2,4.0,14.3,4.1,—,11.3,180.9
89,Juwan Johnson   NO,TE,17,15.6,15.9,11.1,5.8,3.7,1.5,12.9,10.3,12.1,19.2,BYE,10.6,8.9,7.8,7.0,16.9,13.5,7.1,10.6,179.9
90,Seattle Seahawks   SEA,DST,17,8.0,14.0,16.0,11.0,-3.0,11.0,9.0,BYE,9.0,21.0,2.0,4.0,30.0,19.0,4.0,2.0,10.0,12.0,10.5,179.0
91,Rhamondre Stevenson   NE,RB,14,4.7,21.2,4.6,5.1,14.7,1.8,16.8,5.9,—,—,—,2.0,11.0,BYE,10.7,17.8,27.2,35.3,12.8,178.8
91,Hunter Henry   NE,TE,17,10.6,1.9,29.0,11.9,6.6,5.7,7.3,7.7,9.1,1.9,8.5,24.5,11.3,BYE,2.8,15.5,13.9,10.6,10.5,178.8
93,Dalton Schultz   HOU,TE,17,5.8,5.9,8.9,8.0,11.0,BYE,18.8,4.4,13.7,18.3,11.1,1.8,12.5,5.2,21.6,14.5,4.9,11.3,10.5,177.7
94,Troy Franklin   DEN,WR,17,8.4,24.0,2.8,9.5,8.5,3.1,12.9,26.9,8.3,15.0,12.4,BYE,4.1,4.1,20.8,10.6,5.7,0.0,10.4,177.1
95,Brock Bowers   LV,TE,12,15.3,8.8,9.8,9.6,—,—,—,BYE,43.3,3.7,14.2,11.5,22.3,14.6,8.8,14.3,—,—,14.7,176.2
96,Jakobi Meyers   JAC,WR,16,17.7,12.8,9.3,7.0,7.2,7.9,—,BYE,6.3,7.1,11.4,15.0,21.3,14.8,12.1,8.6,7.9,9.4,11.0,175.8
97,Tua Tagovailoa   MIA,QB,14,7.3,19.6,13.8,15.7,22.7,9.6,1.6,24.2,9.5,12.8,6.8,BYE,5.7,9.1,17.2,—,—,—,12.6,175.7
98,Jauan Jennings   SF,WR,15,3.6,19.9,—,6.4,—,1.7,7.1,8.5,14.1,17.1,9.4,15.1,13.9,BYE,18.7,18.1,12.2,7.5,11.6,173.3
99,Quentin Johnston   LAC,WR,14,24.9,15.9,14.9,23.8,6.9,—,11.0,0.0,15.3,9.2,0.0,BYE,11.3,2.8,—,20.4,14.8,—,12.2,171.2
100,DJ Moore   CHI,WR,17,8.6,9.6,12.8,7.8,BYE,8.2,8.2,11.6,23.0,0.0,3.1,23.4,4.7,0.6,22.9,21.9,1.7,2.1,10.0,170.2
101,Cameron Dicker   LAC,K,17,9.0,8.0,12.0,5.0,6.0,17.0,7.0,15.0,11.0,14.0,8.0,BYE,9.0,20.0,12.0,10.0,4.0,3.0,10.0,170.0
102,Quinshon Judkins   CLE,RB,14,—,10.1,16.5,21.5,13.8,3.6,26.4,4.7,BYE,10.5,5.9,16.7,15.9,9.4,4.7,10.1,—,—,12.1,169.8
103,David Montgomery   DET,RB,17,8.3,13.1,29.4,1.2,18.2,8.1,5.9,BYE,11.0,10.1,4.7,6.7,12.8,14.3,9.2,1.4,6.0,6.5,9.8,166.9
104,Khalil Shakir   BUF,WR,16,12.4,2.2,14.5,17.9,11.0,6.3,BYE,20.8,11.3,12.8,0.7,17.0,1.5,9.6,11.5,7.4,9.5,—,10.4,166.4
105,Romeo Doubs   GB,WR,16,8.8,11.8,4.5,29.8,BYE,10.5,13.2,9.4,16.1,1.5,9.3,4.3,12.0,0.0,5.6,19.4,9.2,—,10.3,165.4
106,Colston Loveland   CHI,TE,16,3.2,0.0,4.1,—,BYE,3.1,5.4,6.8,29.8,9.5,7.0,14.9,5.8,12.9,10.1,6.0,21.4,25.1,10.3,165.1
107,Cam Little   JAC,K,17,15.0,10.0,5.0,9.0,9.0,0.0,1.0,BYE,15.0,13.0,5.0,13.0,6.0,11.0,12.0,11.0,14.0,15.0,9.6,164.0
107,Houston Texans   HOU,DST,17,6.0,7.0,5.0,14.0,11.0,BYE,18.0,5.0,8.0,14.0,9.0,15.0,2.0,12.0,7.0,11.0,8.0,12.0,9.6,164.0
107,Tyler Shough   NO,QB,11,—,—,0.0,—,—,—,—,5.3,10.2,19.0,BYE,8.9,18.4,22.3,18.1,17.1,21.9,22.8,14.9,164.0
110,Tre Tucker   LV,WR,17,13.4,4.9,40.9,4.2,11.1,12.0,8.3,BYE,6.8,5.5,14.7,5.8,5.0,4.4,0.0,9.4,9.9,5.4,9.5,161.7
111,George Kittle   SF,TE,11,12.5,—,—,—,—,—,0.0,14.3,6.9,23.4,24.7,13.8,10.7,BYE,22.8,24.5,—,7.9,14.7,161.5
112,Tyrone Tracy Jr.   NYG,RB,15,5.5,9.1,5.6,—,—,0.6,10.6,7.3,6.7,8.1,17.9,16.0,4.3,BYE,24.7,9.8,6.7,27.9,10.7,160.8
113,Will Reichard   MIN,K,17,9.0,8.0,14.0,8.0,3.0,BYE,18.0,6.0,11.0,9.0,5.0,10.0,0.0,8.0,12.0,11.0,16.0,11.0,9.4,159.0
114,Joe Flacco   CIN,QB,13,14.2,9.8,4.7,3.3,—,18.8,26.0,24.3,32.7,BYE,10.9,10.6,—,—,—,0.2,1.2,0.2,12.1,156.7
115,Rashid Shaheed   SEA,WR,18,9.3,15.2,8.2,9.2,21.4,6.8,8.0,14.5,11.8,3.3,4.9,0.5,2.6,16.7,12.1,9.1,1.8,1.2,8.7,156.6
116,Chase McLaughlin   TB,K,17,6.0,2.0,21.0,16.0,12.0,7.0,5.0,17.0,BYE,5.0,8.0,1.0,10.0,9.0,11.0,10.0,5.0,11.0,9.2,156.0
117,Jake Bates   DET,K,17,7.0,10.0,9.0,13.0,5.0,5.0,8.0,BYE,7.0,13.0,5.0,12.0,6.0,16.0,11.0,6.0,5.0,14.0,8.9,152.0
118,Woody Marks   HOU,RB,16,0.3,6.1,4.6,27.9,2.4,BYE,12.5,15.1,2.7,16.1,6.1,7.9,7.7,15.6,10.8,—,8.5,6.8,9.4,151.1
119,Chris Boswell   PIT,K,17,14.0,12.0,3.0,6.0,BYE,15.0,8.0,20.0,10.0,6.0,10.0,4.0,1.0,9.0,4.0,11.0,8.0,10.0,8.9,151.0
120,Rashee Rice   KC,WR,8,—,—,—,—,—,—,23.2,25.5,18.6,BYE,9.8,24.1,29.4,7.4,12.1,—,—,—,18.8,150.1
121,Harrison Butker   KC,K,17,11.0,7.0,13.0,13.0,4.0,6.0,7.0,4.0,8.0,BYE,7.0,16.0,4.0,4.0,8.0,12.0,10.0,15.0,8.8,149.0
121,Andy Borregales   NE,K,17,8.0,9.0,2.0,6.0,13.0,5.0,7.0,13.0,6.0,4.0,10.0,18.0,15.0,BYE,7.0,10.0,6.0,10.0,8.8,149.0
123,AJ Barner   SEA,TE,17,1.2,10.8,3.3,12.2,24.3,10.1,1.9,BYE,11.5,0.3,17.1,3.8,7.7,5.7,5.7,15.0,13.3,3.4,8.7,147.3
124,Kyle Monangai   CHI,RB,17,2.1,4.6,3.0,1.8,BYE,5.4,17.4,2.4,22.8,8.8,10.7,10.8,19.0,8.7,3.3,12.3,7.7,5.9,8.6,146.7
125,Rome Odunze   CHI,WR,12,15.7,31.8,15.2,16.9,BYE,5.2,5.1,18.4,0.0,20.6,6.1,8.3,2.8,—,—,—,—,—,12.2,146.1
126,Kareem Hunt   KC,RB,17,4.6,4.4,11.4,5.7,18.7,4.4,1.8,17.2,12.5,BYE,13.2,20.0,9.0,9.0,3.0,0.2,3.8,6.5,8.6,145.4
127,Tyler Loop   BAL,K,17,13.0,12.0,7.0,9.0,4.0,3.0,BYE,13.0,4.0,14.0,12.0,11.0,2.0,10.0,6.0,6.0,11.0,7.0,8.5,144.0
127,Jacksonville Jaguars   JAC,DST,17,11.0,8.0,12.0,15.0,7.0,2.0,-4.0,BYE,3.0,11.0,12.0,7.0,14.0,10.0,10.0,6.0,7.0,13.0,8.5,144.0
129,Justin Fields   NYJ,QB,9,29.5,4.0,—,27.1,25.9,4.9,4.0,20.9,BYE,8.0,19.3,—,—,—,—,—,—,—,16.0,143.7
130,Rachaad White   TB,RB,17,2.6,14.6,2.4,8.6,23.1,17.6,8.4,8.1,BYE,10.4,8.2,5.2,5.9,6.5,3.6,8.0,3.7,6.1,8.4,143.0
130,Denver Broncos   DEN,DST,17,14.0,0.0,9.0,10.0,7.0,13.0,5.0,6.0,5.0,14.0,8.0,BYE,4.0,11.0,7.0,4.0,5.0,21.0,8.4,143.0
132,Jacory Croskey-Merritt   WAS,RB,17,14.2,1.7,10.1,7.7,27.0,5.8,4.2,2.5,5.1,3.0,4.3,BYE,2.0,3.2,15.6,8.5,22.5,2.9,8.3,140.3
133,Eddy Pineiro   SF,K,14,—,10.0,12.0,7.0,17.0,18.0,11.0,1.0,12.0,2.0,14.0,—,—,BYE,14.0,12.0,6.0,4.0,10.0,140.0
134,Joe Burrow   CIN,QB,8,8.8,7.0,—,—,—,—,—,—,—,BYE,—,—,19.2,25.4,7.5,29.0,20.4,22.1,17.4,139.5
135,Brian Thomas Jr.   JAC,WR,14,9.0,8.9,7.5,10.6,12.0,23.0,6.1,BYE,8.5,—,—,—,4.8,11.7,17.1,3.8,7.9,7.9,9.9,138.8
136,Bucky Irving   TB,RB,10,14.5,18.1,13.9,25.5,—,—,—,—,BYE,—,—,—,16.1,16.1,8.1,7.1,8.3,10.8,13.9,138.5
137,Hollywood Brown   KC,WR,16,19.9,8.0,8.2,12.8,8.8,20.5,9.4,0.0,9.3,BYE,8.0,2.0,10.0,4.5,—,5.2,1.7,9.4,8.6,137.7
138,J.J. McCarthy   MIN,QB,10,23.2,4.8,—,—,—,BYE,—,—,19.9,16.7,8.0,2.5,—,20.4,24.5,9.3,—,8.0,13.7,137.4
139,Josh Downs   IND,WR,16,3.2,11.1,5.4,6.4,11.4,16.2,—,12.9,15.7,1.3,BYE,3.0,6.4,6.3,10.3,11.8,5.4,9.6,8.5,136.4
140,Mac Jones   SF,QB,11,—,21.8,14.3,—,22.2,13.2,6.2,19.0,15.8,24.1,-0.3,—,0.2,BYE,—,-0.3,—,—,12.4,136.0
140,Minnesota Vikings   MIN,DST,17,5.0,5.0,30.0,4.0,3.0,BYE,3.0,0.0,9.0,1.0,3.0,1.0,9.0,18.0,2.0,11.0,21.0,11.0,8.0,136.0
140,Los Angeles Rams   LAR,DST,17,11.0,8.0,6.0,7.0,1.0,17.0,11.0,BYE,9.0,6.0,9.0,18.0,2.0,6.0,0.0,6.0,8.0,11.0,8.0,136.0
